Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,"God I ship it so hard :'( Also hope they come back to singing. I miss them, they are so talented <3",UgzYWixk_-_IAHlMYyl4AaABAg,0,0,"God I ship it so hard :'( Also hope they come back to singing. I miss them, they are so talented <3",en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,The song is so beautiful! I love it : ),UgzUNT-lAev4vl1ksPV4AaABAg,0,0,The song is so beautiful! I love it : ),en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,This made me feel some kind of way 👏👏👏👏👏,UgxXnijQh0XF0oO7OY54AaABAg,0,0,This made me feel some kind of way ,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,OMG! so in love with this cover!!!,UgyXPFubVYGieyVxW-t4AaABAg,0,0,OMG! so in love with this cover!!!,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,I’ll always come to this cover! I love your guys voices! Please make more covers ❤️,UgzZ0vRSVK2eHNCWb5B4AaABAg,0,0,I’ll always come to this cover! I love your guys voices! Please make more covers ,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,"First I thought you were a couple, but you're adorable either way :) beautiful cover",UgyocWV_JKLHLITnxgV4AaABAg,0,0,"First I thought you were a couple, but you're adorable either way :) beautiful cover",en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,One of the best cover I’ve seen. The melody is so touching. Love the beat and the music. Your voice just flow through. Makes it seems like there is emotions out into it. Keep up the great work! 😊,UgxmB2KvNu_O5cshCqB4AaABAg,0,0,One of the best cover I’ve seen. The melody is so touching. Love the beat and the music. Your voice just flow through. Makes it seems like there is emotions out into it. Keep up the great work! ,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,Finally!! luv u guys,UgxybWrUVZtQY753Voh4AaABAg,0,4,Finally!! luv u guys,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,Love it💗,UgytqvaIWvVpNBFw_9F4AaABAg,0,0,Love it,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,This is really good! You've got really nice voices 😃🤘,UgxfD8msrNS2jj_LEcp4AaABAg,0,0,This is really good! You've got really nice voices ,en
