Video ID,Comment ID,comments
TXakJYHe9uQ,Ugyx27bUkpJ-HOa0cV14AaABAg,This  is  incredible    I  loved  every  second    
TXakJYHe9uQ,UgyF5rtoeI3EG5BNDxx4AaABAg,Very  produced  sounding  great  cover    Love  the  voice  clarity  and  loudness    would  love  to  hear  a  stripped  version      Though  I  may  be  biased  with  my  upload  style    haha  
TXakJYHe9uQ,UgzJfcX-sXp5Uir4nA54AaABAg,Well  damn    This  is  so  good  wtf
TXakJYHe9uQ,Ugy9V887x57oHu81nfV4AaABAg,Beautiful  cover    Love  it  
TXakJYHe9uQ,UgzEq5EwWF6WpUNcPk14AaABAg,LOVEDDD  IT    SUBBED  RIGHT  AWAY        SHARED    
TXakJYHe9uQ,UgxWabm9J04bdivFS6R4AaABAg,Amazing  cover    You  both  have  incredible  voices      you  got  yourself  a  new  subscriber  
TXakJYHe9uQ,Ugyzo-EE2cJb-kx1BfZ4AaABAg,Truly  awesome    
TXakJYHe9uQ,Ugx8hbKMLBDIZRPIJ5x4AaABAg,The  other  covers  r  nothing  compared  to  this  beautiful  piece      U  r  the  best        Got  one  more  sub      
TXakJYHe9uQ,UgxwE5eMceryCdn3xvh4AaABAg,You  guys  are  awesome      fan  from  Taiwan
TXakJYHe9uQ,UgzumyhAMMbSQOV3SCV4AaABAg,Well  done  guys    great  music  and  vocal  arrangements
TXakJYHe9uQ,UgyrQV94oPmxGZRNzjl4AaABAg,really  really  nice    Love  the  combo  of  your  voices    Thumbs  up  from  switzerland        
TXakJYHe9uQ,UgziNIy_xi5agAUzrTJ4AaABAg,This  d  o      Is  Amazing          Perfect  voices          Greeting  from  PANAM          ABRIL  17    2018
TXakJYHe9uQ,UgzJvVnrZHjToDd01ZF4AaABAg,Pls  release  more
TXakJYHe9uQ,Ugy5GGVnjvNX7NQBt7J4AaABAg,Holy  crap  you  both  are  amazing
TXakJYHe9uQ,UgxNq0oXXOjI7WlsJ-F4AaABAg,oh  my      I  love  this
TXakJYHe9uQ,Ugy-Mp0FGGTFb8440I54AaABAg,Guys    this  cover  is  beautiful          Wow        
TXakJYHe9uQ,UgzO_yasaNSCO_4K3Ex4AaABAg,Please  do  more  cover    we're  waiting  for  you    
TXakJYHe9uQ,Ugx0NzqWdIz730Fs-zR4AaABAg,So  emotional      good  job  music  can  touch  your  soul      your  voices  are  going  really  deep  Thank  you  
TXakJYHe9uQ,UgwlkNZdT1AMm-1hsot4AaABAg,very  good  cover    well  done  
TXakJYHe9uQ,UgynDyrH57WiLvPbHc94AaABAg,Yoo  love  this  my  dudes    great  production
TXakJYHe9uQ,UgwYYRc0MWYGQPk6CVN4AaABAg,How  come  it  s  still  not  going  viral    remember  me    supporting  you  guys  at  the  start
TXakJYHe9uQ,UgzPHqphcHC2V1GtX_Z4AaABAg,Man  U  guys  really  sing  lovely  
TXakJYHe9uQ,Ugz23U7uW9DuGpGGUcN4AaABAg,awesome  as  always    
TXakJYHe9uQ,UgxhgoJVnJYW9-nDc9l4AaABAg,More  singing  videos  please        Obsessed  
TXakJYHe9uQ,UgzU-iP1vdeJ_K3YIv54AaABAg,Seriously    please  post  more  
TXakJYHe9uQ,UgwYgOTMVx4qLhou67F4AaABAg,Same  Lauryn    Guys    Kudos  to  you  two    and  I  hope  you  do  requests  because  I  have  one  to  make    I'd  LOVE  to  hear  a  LAUV  medley        
TXakJYHe9uQ,Ugx_bEoEpFZOgLcL0Ql4AaABAg,Perfect
TXakJYHe9uQ,UgxwO5MXFpGimI_OWjd4AaABAg,jeez  damn        thanks  for  this  cover  
TXakJYHe9uQ,UgzZxQwufNmSCKSd-g14AaABAg,And  can  you  guys  pleaseeee  do  a  cover  of  Riptide    
TXakJYHe9uQ,UgzQtdSrECO00Eb1EuZ4AaABAg,okay  u  hitt  it  guys    lovethissssss
TXakJYHe9uQ,Ugygx7a6e0saal_ZUzB4AaABAg,Very  beautiful  voices      please  keept  going  on          
TXakJYHe9uQ,UgwAfN7cyNYX0PSqjPZ4AaABAg,Pls  make  more  of  those    Im  waiting  too  long  now  
TXakJYHe9uQ,UgzhjiRLpE6e8cU6zVN4AaABAg,I  cannot  explain  how  happy  I  am  I  found  this          so  damn  good    I'm  breathless
TXakJYHe9uQ,Ugz3mcTdARIm5WGOA714AaABAg,You  guys  are  really  nice  
TXakJYHe9uQ,Ugx5LA62u9_EFIzVM3B4AaABAg,I  wasn't  prepared      this  is  SO  GOOD
TXakJYHe9uQ,UgxhBMSHm0XXJGVbX8d4AaABAg,So  beautifully  sang    
TXakJYHe9uQ,UgzDF3sXsSF5CSzTZy54AaABAg,They  song  beautifully      Please  make  more  cover    
TXakJYHe9uQ,UgxbAepKs6HAMjzIK8B4AaABAg,Yo  this  is  super  dope        Gotta  collab  with  these  dudes
TXakJYHe9uQ,UgwrBbVdS66-R_g0chN4AaABAg,More  covers  please
TXakJYHe9uQ,UgzqtJPTpdnaXc9L-_F4AaABAg,Awesome    Plz  upload  more  frequently      
TXakJYHe9uQ,UgyRSDQOUvvx7xbdrJN4AaABAg,So  beautiful
TXakJYHe9uQ,UgzJMkAWltgmvL1j2x54AaABAg,That  microphone  is  soooooooo  lucky      
TXakJYHe9uQ,UgyhkF1RGJw_em65KxJ4AaABAg,Mine    Bazzi        Intro        Huh    yeah    naw  I  just    had  a  lil'  bit  too  much  of  Hennessy    Just  gotta  tell  you  how  I  feel        Verse  1        You  so  fuckin'  precious  when  you  smile    Hit  it  from  the  back  and  drive  you  wild    Girl    I  lose  myself  up  in  those  eye  eye  eye  eye  eyes    I  just  had  to  let  you  know  you're  mine        Chorus        Hands  on  your  body    I  don't  wanna  waste  no  time    Feels  like  forever  even  if  forever's  tonight    Just  lay  with  me    waste  this  night  away  with  me    You're  mine    I  can't  look  away    I  just  gotta  say        Verse  2        I'm  so  fucking  happy  you're  alive    Swear  to  God  I'm  down  if  you're  down  all  you  gotta  say  is  right    Girl  anything  I  can  do  just  to  make  you  feel  alright    Oh    oh    oh    oh    I  just  had  to  let  you  know  you're  fine    Running  circles  'round  my  mind    Even  when  it's  rainy  all  you  ever  do  is  shine    You  on  fire    you  a  star  just  like  Mariah    Man  this  feel  incredible    I'll  turn  you  into  a  bride    you're  mine        Chorus        Hands  on  your  body    I  don't  wanna  waste  no  time    Feels  like  forever  even  if  forever's  tonight    Just  lay  with  me    waste  this  night  away  with  me    You're  mine    I  can't  look  away    I  just  gotta  say
TXakJYHe9uQ,UgyY-vz2q85omnCh9654AaABAg,More  cover  plsss
