Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,This song lyrics is so cool,UgxW2dTzHrgBJl4HJ7t4AaABAg,0,2
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Creo que con su foto de niño en el plato al final de la canción es más que obvio el mensaje oculto de esta.,UgxDJBE-IGRzMntuVE54AaABAg,129,3019
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"The song is really catchy for real, i didn't know at first what it was about, but after i read some things  about the pizzagate and other stuff i could figure it out. but damn is a catchy song",UgzPstj-gmr81w12vI54AaABAg,12,207
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,2:20 ahahahahaahhaa WTF snapchat filter,UgwkJEAYpXVd_EAWsBB4AaABAg,11,208
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Director: Let’s just feed him,UgyPOmjusHY_QJLPFqh4AaABAg,9,503
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,The only reason I watch this was because my brother said the song says: “Yomie.” So i proved to him,UgzduQpjxQ23juqhPFZ4AaABAg,8,103
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Peace and love my friend in faith <3,UgwSaAQouTZ25B_8bWF4AaABAg,0,3
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Lots of love from indonesia🇮🇩,Ugye0GX65a-KPej4Xed4AaABAg,0,2
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,We got the message Justin these elites are sick,UgySfekgeywLWyziG4B4AaABAg,7,79
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"3:41 
Justin de niño fue un platillo más de esa ""élite""",Ugyi_QS9UC7ue4L2f9d4AaABAg,4,238
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,*Beliebers please vote for PEACHES for summer song of the year on billboard*,UgyN7QOGOaD3NVxSn6t4AaABAg,9,94
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"There’s a message in this video. Those that know, know.  Please pray for Justin!! He wants nothing to do with these evil demonic people. Explains a lot when you look at all the struggles he has!",UgzrUDoc8MC7eGYcJiN4AaABAg,5,51
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"I can't help to believe this song (covertly) talks and tells us a story about child abuse... 
But maybe that's just my interpretation.",UgwsPQ3kBYw4DDw_Evd4AaABAg,3,49
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,I’ve heard this song before and I didnt even know this was a song yet.,UgyPcVeWtFK7D6Mooc94AaABAg,3,93
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"Podrán matar al mensajero pero nunca el mensaje 

₩Cancerbero♤",Ugx_VQzkdJhoQgcnrDt4AaABAg,9,339
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"[Hello] I love this song, it's a breeze on my headphones",UgwXcFb62xcgqp_x68x4AaABAg,0,1
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,2:21 = 👺,UgzHZwfwYweHsKXkNbd4AaABAg,3,67
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,que casualidad que salgan niños entreteniendo  a ADULTOS de elite osea gente muy poderosa 😐😑,Ugwj5jNJ7FfgENzJIgd4AaABAg,7,151
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,ผมเวียนหัวกับตาก้อง555,UgyNhoSYW8ZFUFDFTQR4AaABAg,0,2
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"Me : When my Gf cooks Axone
You got that yummy yummmy",UgwLbh_seLVnTYe-p_N4AaABAg,0,8
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Q saudades dessa época,UgwDagAkFiaS8DFzUWd4AaABAg,0,2
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,¿Nos pusimos deacuerdo par a escucharlas todos hoy o que? 😞,UgynYAZcoO2lVIe2LLd4AaABAg,10,54
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"The fact of he is on the cake at the final, maybe can show that he suffer abuse when was child too. This make sense because he turned into a star when he was just a Teen",UgysA_mP03V7MaF851V4AaABAg,21,472
