Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"Justin’s been through some shit man, it’s obvious what he’s trying to tell us. If anything happens to him, we’ll know why",UgxaWWWLyDzlm27pRYZ4AaABAg,5,456,"Justin’s been through some shit man, it’s obvious what he’s trying to tell us. If anything happens to him, we’ll know why",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,People are so blinded by celebrities and don’t even notice the darkness the truth behind celebrities,UgxOXHZ1XyjLRozVX1l4AaABAg,16,916,People are so blinded by celebrities and don’t even notice the darkness the truth behind celebrities,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,I was honestly more interested in Justin’s hair than the whole video,UgwZ-hPYqDZdsqeWXFt4AaABAg,19,605,I was honestly more interested in Justin’s hair than the whole video,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"“You’re incriminated, no disguise. You ain’t never running low on supplies.”",Ugxxms_Jiied9KMTnD54AaABAg,83,5245,"“You’re incriminated, no disguise. You ain’t never running low on supplies.”",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"I love seeing so many people in the comment section realizing and diving deeper into the true meaning of the song rather than simply labelling it as a ""bad song"" and overlooking it. If Justin does die all of sudden like other celebrities who were going to expose Pizzagate like Micheal Jackson or Avicii, then that will simply prove that the meaning of this song is true. We're all slowly becoming aware. The more people who realize what these children have to go through behind the scenes the more children of the future we can save. Everyone share the real meaning of the song with as many people as you can. The truth will be revealed.",UgyrT28NLsKUnKDxZS94AaABAg,3,113,"I love seeing so many people in the comment section realizing and diving deeper into the true meaning of the song rather than simply labelling it as a ""bad song"" and overlooking it. If Justin does die all of sudden like other celebrities who were going to expose Pizzagate like Micheal Jackson or Avicii, then that will simply prove that the meaning of this song is true. We're all slowly becoming aware. The more people who realize what these children have to go through behind the scenes the more children of the future we can save. Everyone share the real meaning of the song with as many people as you can. The truth will be revealed.",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,At 02:21 his chin gets weirdly longer 😂,UgzfSBg0QHsibEZUJep4AaABAg,1,10,At 02:21 his chin gets weirdly longer ,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,if justin dies by “suicide” we’ll know it was a murder. time to wake up people,UgyLBSJvTFjzE2nJVxV4AaABAg,9,449,if justin dies by “suicide” we’ll know it was a murder. time to wake up people,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,I like the song is so good,UgxyrqTNOwFY25o-TuZ4AaABAg,0,0,I like the song is so good,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Best song of world ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🌍,Ugwrgo8XJNdRaADeZIB4AaABAg,0,1,Best song of world ,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Tomáš Bellas na playstation a to 3,UgxrD8vUaJ3TyNI7AN94AaABAg,0,1,Tomáš Bellas na playstation a to 3,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"""Until now, no one can beat Justin Bieber Fame""",Ugx6XJSRCPqlCc79vLl4AaABAg,0,4,"""Until now, no one can beat Justin Bieber Fame""",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,the pizzagate theory would make sooo much more sense as to why he posted babies on his Instagram to promo the song,UgwnCXE3IsNywzo5HGp4AaABAg,6,336,the pizzagate theory would make sooo much more sense as to why he posted babies on his Instagram to promo the song,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,His voice is like magic 🪄 in my ear😍😍😍,UgzGsSF2Zb2CijO-K1p4AaABAg,0,6,His voice is like magic  in my ear,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Yummy yummy haha james cordan nailed it,UgzoU6G95u6Dqyr3dsd4AaABAg,0,0,Yummy yummy haha james cordan nailed it,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"The Violin at the start, was a thing of beauty!",UgycjXFATS35i_UYiOd4AaABAg,2,44,"The Violin at the start, was a thing of beauty!",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"Omg,is perfect",UgxVkgkkpxlF2SGNVot4AaABAg,0,2,"Omg,is perfect",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,This is old but remains gold,UgzwRtPwnQFBaLsi2gh4AaABAg,0,0,This is old but remains gold,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Love this song 🔥❤❤❤,UgzORKxhf0uH-4BOxth4AaABAg,0,0,Love this song ,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Yeah love your music,UgxFx3aXR7W5wpLZ_vZ4AaABAg,0,1,Yeah love your music,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Crazy how he really wanted us to listen to this and i just laughed cuz he looked like a crackhead. Whole time he’s tryna to tell us something very important. In the beginning when he was staring at the camera it was one of those “listen to what I’m saying”,UgyPKPSSDub9UcgQhVd4AaABAg,3,221,Crazy how he really wanted us to listen to this and i just laughed cuz he looked like a crackhead. Whole time he’s tryna to tell us something very important. In the beginning when he was staring at the camera it was one of those “listen to what I’m saying”,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Hater are the ones who don’t understand yummy food,UgxrIQQ-F7NMYQm_YlR4AaABAg,1,12,Hater are the ones who don’t understand yummy food,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"There’s 454k likes in this Video. 
If you find mine you are the best legend ever!!!!! 😎",UgzcbbCNJMhJxVOKUql4AaABAg,1,0,"There’s 454k likes in this Video. 
If you find mine you are the best legend ever!!!!! ",en
