Video ID,Comment ID,comments
8EJ3zbKTWQ8,Ugyptjui-emCR9ZORO94AaABAg,I  was  listing  to  this  song  on  the  earbuds  and  it  was  sooo  loud  like  ur  in  a  music  world
8EJ3zbKTWQ8,UgxOzav69Ziu9OyNaoR4AaABAg,Day  1  of  listening  to  yummy  for  a  year    Btw  this  is  my  most  fav  song  ever
8EJ3zbKTWQ8,UgwIAbHNJ4yvGryjsCN4AaABAg,Who  s  here  for  the  pizzagate  s  theory  
8EJ3zbKTWQ8,Ugx9xpSw-ihctIAAyI54AaABAg,I  love  this  song  
8EJ3zbKTWQ8,UgyV_vUCI_y7aAXDm_t4AaABAg,Today's  my  first  time  seeing  this  video  and  I'm  really  upset  that  he  has  a    12  hoodie  and  a  candy  necklace  OVER  the  half  a  Bentley  around  his  neck  
8EJ3zbKTWQ8,UgxyaE-AMOtKC__y1eZ4AaABAg,  SHES  SPEAKING  IN  TOUNGES    THAT  BE  THE  DEVILS  TUNE  
8EJ3zbKTWQ8,Ugy23YErBEZ5keMrlb94AaABAg,      THIS  SONG  SOUNDS  LIKE  TWO  SONGS  IN  ONE    
8EJ3zbKTWQ8,UgwLRPZ09zBxT7fDX7Z4AaABAg,Congratulations  on  the  millions  of  views
8EJ3zbKTWQ8,UgyFyRr5H_ofGktUSKp4AaABAg,Fun  fact      People  finds  hard  to  believe  that  this  song  is  1  year  old
8EJ3zbKTWQ8,Ugy79xJZptrjaTu8Lkl4AaABAg,You  don't  miss  the  person      You  only  miss  the  memories    
8EJ3zbKTWQ8,Ugx4cvIEGGPPPUc12BN4AaABAg,4  years  waiting  for  the  masses  to  wake  up  to  pizza  gate    Justice  is  coming  
8EJ3zbKTWQ8,Ugyyb0Hv_QYcA8pos714AaABAg,those  who  are  at  his  table  are  all  those  who  abused  him  understand
8EJ3zbKTWQ8,UgzmDg9gQTtSM-ZO4S94AaABAg,FEBRUARY  2020    People  coming  here  to  make  jokes  and  memes    JULY  2020    People  coming  here  to  regret  
8EJ3zbKTWQ8,UgyOV7F_AX3QEKk_-9V4AaABAg,As  soon  as  you  start  singing  I  smiled  your  so  good  with  that  gift  of  singing
8EJ3zbKTWQ8,UgykoducK9YcSzDAqk14AaABAg,He  been  wildin  since  he  got  married  to  Hailey      
8EJ3zbKTWQ8,UgzXjl6uIAh-ifVU24F4AaABAg,Justin  s  Q  and  A  made  me  scroll  down  for  30  minutes  straight
8EJ3zbKTWQ8,Ugy1fRPVb-dHeP_C62h4AaABAg,the  music  is  very  good    I'm  Brazilian  and  I  love  this  song  a  lot
8EJ3zbKTWQ8,UgzlmtG7Y6Ioibt1umR4AaABAg,Before  Peaches  there  s  Yummy  wait  what    I  thought  I  had  peaches  so  it  taste  yummy  hahaha
8EJ3zbKTWQ8,UgxjrzZUzxf_NNWW0SJ4AaABAg,I  LOVE  THIS  SONG
8EJ3zbKTWQ8,Ugzn29QjjMfLV6VorvR4AaABAg,Lots  of  Love  From  Nepal
8EJ3zbKTWQ8,UgwVAslKBapXVD5Z0Ch4AaABAg,This  song  is  very  veryyyyyy  Amazing  and  cool
8EJ3zbKTWQ8,UgzkIQEY3HHOi7EGYKl4AaABAg,Director      how  much  do  you  want  the  fans  to  be  hungry      Justin      yes
8EJ3zbKTWQ8,Ugw6LHbl42vksKWuaER4AaABAg,He  s  calling  them  out    Whoop  whoop    Way  to  go  Beebs    
8EJ3zbKTWQ8,UgxBqc3iBVD1xHbQkCZ4AaABAg,0    Nudity  0    Cars    0    Money  100    Food
8EJ3zbKTWQ8,UgxRE8OAb_Wyb9UI39Z4AaABAg,His  father  in  law  was  like          Your  song  was  inspired  by  WHAT    
8EJ3zbKTWQ8,UgxHLzqGZsrx288RY7J4AaABAg,Ever  since  I  saw  that  Sherliza  Moe  video    I  see  this  in  a  COMPLETELY  different  light    Jesus  Christ
8EJ3zbKTWQ8,UgwoqK0TzD3GkImVtG54AaABAg,Lots  of  love  from  tamil  nadu
8EJ3zbKTWQ8,UgxiI3SmhVoQGHvw3_J4AaABAg,Lost  of  love    from  India  
8EJ3zbKTWQ8,UgwCsjzUlgYN65A0tgB4AaABAg,Just  so  Danny  doesn't  get  copyright  imma  watch  this
8EJ3zbKTWQ8,Ugw4hGev-4Wngu5yAW14AaABAg,Justin  and  do  you  feel  good  about  what  you  do  the  humble  is  always  going  to  be  the  perfection  of  anything
8EJ3zbKTWQ8,UgzwQBZB5TuLfJletUl4AaABAg,Did  u  notice  that  one  of  the  Podesta  emails  has  the  name  of  the  song    It  says    Instead  of  Pasta  and  wonderful  sauces  it  was  a  lovely  tempting  assortment  of  cheeses    yummy  
8EJ3zbKTWQ8,Ugy5LLrQZn6p97Cxstd4AaABAg,i  love  this  song    
8EJ3zbKTWQ8,Ugzb_CgRMXEIBBjiNQd4AaABAg,i  need  to  stuff  my  face  with  fries  now
8EJ3zbKTWQ8,UgycFZEWoN9WnAnQKQx4AaABAg,4  years  from  now  we  would  comment  on  this  video  like    damn  remember  all  the  corona  stuff  
8EJ3zbKTWQ8,UgybBqeo0kBEo300cX14AaABAg,1st  time    what  crap  is  this    5th  time    ok    i  can't  get  it  out  of  my  head    maybe  one  more  time  i'll  get  bored  of  it  soon  10th  time    man    actually  a  good  song  100th  time      chorus  blasting  100    volume  and  singing    Yeah  you  got  that  yummmmy  yumm  yeah  500th  time    fuckin  addictive  best  JB  song        
8EJ3zbKTWQ8,UgySdPXNlaEWiSGFjpB4AaABAg,    I  love  the  video
8EJ3zbKTWQ8,UgwgfNtj20IH3COxBk94AaABAg,Still  love  it  
8EJ3zbKTWQ8,UgzZjQCfZW5rV5pCNex4AaABAg,His  music  rides  on  audio  toon
8EJ3zbKTWQ8,Ugxm1VWnSyijo9bMzrV4AaABAg,I  always  found  it  weird  that  he  only  hard  promoted  only  THIS  SONG
8EJ3zbKTWQ8,UgyYwdOdy85rRx_XAgx4AaABAg,I  love  its  song
8EJ3zbKTWQ8,Ugxz0qWNJ4K9bCr--cV4AaABAg,Yummy  yummy    I  love  it  hey
8EJ3zbKTWQ8,UgyyUv5H86awaTitnIl4AaABAg,I  guess  Eminem  didn't  want  anymore  of  his  moms  spaghetti  
8EJ3zbKTWQ8,Ugymyw1K3RrsSqS-cvV4AaABAg,2021  6  7    2022  12  30      2021    2022still  listening  to  this  song
8EJ3zbKTWQ8,UgxZseHVYUCNYqJ_eWx4AaABAg,My  mom    Chloe  don  t  talk  while  eating    it  s  gross  and  disrespectful  Me      starts  singing  this  song    Mom    ok
